id,time_mandante,gols_mandante,gols_visitante,time_visitante,rodada,campeonato,data,pontos_mandante,pontos_visitante,detalhes
242,Portuguesa,2,0,Guarani,22,2002,Oct 23,3,0," [Ricardo Oliveira 30', Édson Araújo 45']"
243,São Caetano,1,1,Cruzeiro,22,2002,Oct 23,1,1, [Adhemar 73'; Luisão 32']
244,Figueirense,2,1,Flamengo,22,2002,Oct 23,3,0," [Lino 59'p, Thiago Gentil 82'; Felipe Mello 46']"
245,Fluminense,2,2,Goiás,22,2002,Oct 23,1,1," [Romário 26', 72'; Araújo 43', Danilo 89']"
246,Paraná,2,1,Gama,22,2002,Oct 23,3,0," [Maurílio 31'p, 58'; Jackson 17']"
247,Paysandu,2,1,Santos,22,2002,Oct 23,3,0," [Zé Augusto 11', Vandick 86'; Elano 13']"
248,Ponte Preta,1,1,Vitória,22,2002,Oct 23,1,1, [Hernâni 80'; Allann Delon 12']
249,Bahia,4,2,Vasco da Gama,22,2002,Oct 23,3,0," [Nonato 30', Jair 33', Calisto 58', Robgol 62'; Ramón Menezes 61', 69']"
250,Botafogo,2,3,Fluminense,23,2002,Oct 26,0,3," [Galeano 32'p, Leonardo Inácio 62'; César 39', Magno Alves 70', Romário 81'p]"
251,Portuguesa,1,3,São Paulo,23,2002,Oct 26,0,3," [Rogério Ceni 30', Luís Fabiano 63', 73'; Luiz Henrique 42']"
252,Internacional,0,1,Grêmio,23,2002,Oct 26,0,3, [Rodrigo Mendes 80']
253,Santos,3,0,Flamengo,23,2002,Oct 26,3,0," [William 26', Robert 32', Robinho 40']"
254,Atlético-PR,1,0,Coritiba,23,2002,Oct 26,3,0, [Kléber 13']
255,Gama,0,1,Goiás,23,2002,Oct 26,0,3, [Tiago 8']
256,Juventude,3,2,Figueirense,23,2002,Oct 26,3,0," [Leonardo Manzi 52', 79', Gaúcho 90+2'; Selmir 6', Igor 50']"
